company|explanation|document
Microsoft|demanding DMARC adoption in may 2025 of bulk senders; however "We advise moving gradually (none → quarantine → reject) to avoid unintended mail loss.". I cannot say that the spike is caused by this fact alone, otherwise I'm saying that there are hundreds of thousands of bulk email senders.|https://www.ctm360.com/blogs/microsoft-dmarc-mandatory-may-2025
Google|Requirement for bulk senders (>5k email daily). By february 2024. Among guidelines for bulk senders, they must implement DMARC. In doc 2, google mentions that Aol and Yahoo follow the guidelines. On doc 3, Google gives a rollout strategy for DMARC as: 48h before implementation, set up SPF/DKIM, set up policy p=none and after a week without issues, move to p=quarantine/reject. Daily review the reports received. |1-https://blog.google/products/gmail/gmail-security-authentication-spam-protection/,2-https://support.google.com/a/answer/81126?visit_id=638967164414895382-1464203241&rd=1,3-https://support.google.com/a/answer/10032473?sjid=17160078753545640605-EU
Yahoo|Requirement for bulk senders (no threshold of amount of emails per day is provided). Advise for all other senders (see doc 2). Starting from February 2024. Must implement DMARC. From doc 2, DMARC starting with p=none. Not clear when policy would change to quarantine or reject. Must add a rua mailto address. |1-https://blog.postmaster.yahooinc.com/post/730172167494483968/more-secure-less-spam,2-https://senders.yahooinc.com/best-practices/
Aol|follows Yahoo according to doc 1 and 2. They also "tell other compliant providers like Yahoo, Gmail, and Outlook to reject mail from AOL address sent from non-AOL servers." |1-https://blog.postmaster.yahooinc.com/post/730172167494483968/more-secure-less-spam,2-https://help.aol.com/articles/what-is-email-spoofing-and-how-can-i-tell-if-my-account-has-been-spoofed
Laposte.net|Lead french email provider. Requirement for DMARC adoption (otherwise considered spam). Starting from September 2025. Applied to all senders (businesses or individuals who owns a domain). Doc 2 says that at least one of DMARC, SPF, or DKIM is mandatory. |1-https://securityboulevard.com/2025/09/new-laposte-email-rules-what-senders-need-to-know-about-spf-dkim-dmarc/,2-https://postmaster.laposte.net/contents/quelles-sont-les-specifications-techniques-a-respecter-pour-emettre-des-emails-vers-laposte-net
IONOS|Recomends use of DMARC if is a bulk sender. There is no rollout strategy or timeline to follow.|https://www.ionos.com/help/domains/configuring-mail-servers-and-other-related-records/using-email-authentication-with-dmarc-records/
Tutamail||
Fastmail||
Proton||
Zoho||
M3AAWG|M3AAWG is a body that develop and publish recommendations, training and educational material to fight abuse with operational perspective. They published guidelines for email authentication, with includes DMARC. There they mention that policy p=none is a transitional state and should be p=reject where possible or p=quarantine otherwise. Furthermore, they advise the use of rua tags. They consider ruf optional because they "are neither sent by most receivers nor terribly useful to most domain owners". Released September 2020. |1-https://www.m3aawg.org/sites/default/files/m3aawg-email-authentication-recommended-best-practices-09-2020.pdf
PCI SSC|"The PCI Security Standards Council (PCI SSC) is a global forum that brings together payments industry stakeholders to develop and drive adoption of data security standards and resources for safe payments worldwide." PCI SSC (through the data security standard, PCI DSS) created a document in June 2024 about data security standard, which includes anti-phishing mechanism. In the document they advise the use of DMARC to fight against phishing. Furthermore, the document mentions the use of DMARC is a requirement after march 31 2025. "This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment."|https://docs-prv.pcisecuritystandards.org/PCI%20DSS/Standard/PCI-DSS-v4_0_1.pdf
OVH|OVH offer guidelines on how to operate their cloud panel and configure DMARC. OVH offers a UI to set, in text fields, the related DMARC record.|1-https://help.ovhcloud.com/csm/en-dns-zone-dmarc?id=kb_article_view&sysparm_article=KB0059161,2-https://help.ovhcloud.com/csm/en-dedicated-servers-optimise-email-sending?id=kb_article_view&sysparm_article=KB0043640
Brevo|Brevo is following Google, Yahoo and Microsoft's requirements.|https://help.brevo.com/hc/en-us/articles/17286219877778-FAQs-About-domain-authentication-Brevo-code-DKIM-DMARC
Mailchimp|Following Google and Yahoo requirements.|https://mailchimp.com/help/about-email-authentication/
Names.co.uk|Similarly to OVH, they have tooling to set up DMARC and they explain how to use it.|https://www.names.co.uk/support/articles/how-to-add-dmarc/
IONOS UK|Similar to OVH: explain the protocol and how to use their tool.|https://www.ionos.com/help/domains/configuring-mail-servers-and-other-related-records/configuring-a-dmarc-record-for-a-domain/?utm_source=chatgpt.com
