country|status|explanation|document
BRA|EXPLAINED|CERT directive from 2023. Public administration parties to consider adopting DMARC. In the document, there is no strong case to use DMARC. It tells what the protocol is and related documents. NIC BR is just a collection of links to external information.|1-https://www.gov.br/ctir/pt-br/assuntos/alertas-e-recomendacoes/recomendacoes/2023/recomendacao-17-2023,2-https://top.nic.br/faqs/mailauth/
CAN|NOT YET EXPLAINED|Government domains to use DMARC ("ensure"), with minimum p=none policy and one mailto address for rua/ruf. Transition to p=quarantine/reject as "in a phased manner with consideration of the departmental risk profile". On medium/small organizations (<500 employees), BC.9.7 states that organizations should ensure DMARC (released on March 2019). CIRA (the responsible for .ca) mentions doc 2, and advise to use DMARC when setting up email for customer's .ca domain.|1-https://www.canada.ca/en/government/system/digital-government/policies-standards/enterprise-it-service-common-configurations/email.html,2-https://www.cyber.gc.ca/en/guidance/baseline-cyber-security-controls-small-and-medium-organizations,3-https://www.cira.ca/en/resources/news/domains/how-to-create-custom-ca-email/
CHE|NOT YET EXPLAINED|DNS resilience program of 2024 added DMARC (and SPF): "OFCOM and the Registrars that the implementation of DMARC and SPF would be the criterion for refund in 2024". The doc 2 also mention such practice of sharing revenue when a domain adopt dmarc (in 2022). OpenIntel is a data source used in .ch to monitor security practices, including DMARC.|1-https://www.nic.ch/export/shared/.content/files/Switch_Report_Registry_2023.pdf,2-https://www.switch.ch/en/insights/increased-email-security-using-dmarc
COL|NOT YET EXPLAINED|ICANN treats the .co for Colombia. However, Google treats .co as a generic ccTLD. The double meaning is with .com (comercial). The material has not yet explained properly why colombia appears as top reject. Alternatively, organizations such as google, yahoo, etc., are enforcing email senders to have DMARC adoption.|https://developers.google.com/search/docs/specialty/international/managing-multi-regional-sites?visit_id=638797432237077860-687130072&rd=1
DEU|NOT YET EXPLAINED|Doc 1 is from 24Jan2024. Scope: anyone running a email server. Proof of compliance given (secondary to email protection). Expected email receiver to adopt p=quarantine/reject with ultimately moving to reject policy. BSI TR also expect a DMARC record. TR-03182-06-M. The document is from 2024, the peak is 2025.|https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/Publications/TechGuidelines/TR03182/BSI-TR-03182.pdf?__blob=publicationFile&v=6
ESP|NOT YET EXPLAINED|Recomendations to adopt DMARC. No enforcement, but guidelines and tutorial document. Document 1 from may 2024, National cryptologic center. The .es follows the incibe (National institute of cybersecurity). The document is meant to all domain owners, including governments and public administrations.|1-https://www.ccn-cert.cni.es/es/informes/informes-de-buenas-practicas-bp/7244-ccn-cert-bp-33-recomendaciones-de-seguridad-en-el-correo-electronico-dmarc/file.html,
FRA|NOT YET EXPLAINED|The increase adoption of DMARC in .fr has been observed in 2024 (doc 1). The blog post also found that incentives from Yahoo and Google may have played a role in the adoption. The blog comes from the .fr administrator. French study of 2017 showed that <1% of domains adopted DMARC back then.|1-https://www.afnic.fr/en/observatory-and-resources/expert-papers/spf-dkim-and-dmarc-rapid-rise-in-adoption-across-fr/,2-https://www.economie.gouv.fr/files/2017_national_study_cybersecurity_v2.pdf
GBR|NOT YET EXPLAINED|Doc 1: Gov related domain must use DMARC. Page published in 2016. The changelog does not include when DMARC was added. Hence, I assume DMARC is presence since fist published. Doc 2: National Cyber Security Center of UK published guidance for system administrators and IT managers. In the guidelines, it shows how to set up DMARC. They advise on gradual transition from p=none (monitoring phase) to a spam p=quarantine and ultimately to p=reject. Monitoring is >2 weeks, quarantine >4 weeks. Organizations report that take 3 months to move from quarantine to reject. Doc 3 shows the domain health initiative to make .uk the most trusted namespace.|1-https://www.gov.uk/guidance/securing-government-email,2-https://www.ncsc.gov.uk/collection/email-security-and-anti-spoofing,3-https://nominet.uk/blog/introducing-the-domain-health-initiative-making-uk-the-most-trusted-namespace
IND|NOT YET EXPLAINED||
ITA|NOT YET EXPLAINED|Italy cybersecurity publication about email authentication framework in August 22nd. There is guidelines on how to set up DMARC from a registrar register.it. Very lax. |1-https://www.acn.gov.it/portale/w/framework-di-autenticazione-per-la-posta-elettronica,2-https://www.register.it/help/email-configurazione-dmarc/
NLD|NOT YET EXPLAINED|Gov domains related. Decision to discuss in the IT governance body.|1-https://www.forumstandaardisatie.nl/open-standaarden/dmarc,2-https://www.sidn.nl/en/news-and-blogs/germanys-bsi-publishes-detailed-technical-guidelines-on-e-mail-authentication
POL|NOT YET EXPLAINED||
